Name,DataType,Unit,StateID,Persistence
Avionics_GTN650_Out_NavVolume,Double,%,2747625104,False
Avionics_GTN650_Out_VLOCorGPS,Boolean,,2318747298,False
Avionics_HeliSAS_ALT_LED,Int32,,735766328,False
Avionics_HeliSAS_Beep_AutopilotDisengage,Boolean,,3603569074,False
Avionics_HeliSAS_Beep_SASDisengage,Boolean,,630411227,False
Avionics_HeliSAS_HDG_LED,Int32,,1968295380,False
Avionics_HeliSAS_NAV_LED,Int32,,466409327,False
Avionics_HeliSAS_SAS_LED,Int32,,3576014097,False
Avionics_HeliSAS_SPD_LED,Int32,,3480174525,False
Avionics_HeliSAS_VRT_LED,Int32,,2961122963,False
Cls_Error,Int32,,1011504128,False
Cls_IsCurrentLimited,Boolean,,1135895796,False
Cls_IsLimitExceeded,Boolean,,477782510,False
Cls_MainState,Int32,,2936255604,False
Cls_RsComError,Boolean,,3210942230,False
CLS_U,Double5,,1984892607,False
Cls_Warning,Int32,,3636191148,False
Cockpit_Airbus_ALTERNATE_STATIC_SOURCE_SELECTOR_CP_E_STATIC_SOURCE_SELECTOR_Status,Double,,1758568601,False
Cockpit_Airbus_ALTERNATE_STATIC_SOURCE_SELECTOR_CP_SAFETY_GUARD_Status,Double,,3556096075,False
Cockpit_Airbus_APCP_FP682_Button_ALT_Indicator,Double,,1882519945,False
Cockpit_Airbus_APCP_FP682_Button_ALT_Status,Double,,826318653,False
Cockpit_Airbus_APCP_FP682_Button_AP1_Indicator,Double,,1487233934,False
Cockpit_Airbus_APCP_FP682_Button_AP1_Status,Double,,3820978311,False
Cockpit_Airbus_APCP_FP682_Button_AP2_Indicator,Double,,3242657167,False
Cockpit_Airbus_APCP_FP682_Button_AP2_Status,Double,,1831896932,False
Cockpit_Airbus_APCP_FP682_Button_ATRIM_Indicator,Double,,3526225974,False
Cockpit_Airbus_APCP_FP682_Button_ATRIM_Status,Double,,2365461582,False
Cockpit_Airbus_APCP_FP682_Button_F_TDN_Indicator,Double,,2713484531,False
Cockpit_Airbus_APCP_FP682_Button_F_TDN_Status,Double,,2845436534,False
Cockpit_Airbus_APCP_FP682_Knob_ALTA_Status,Double,,3933191727,False
Cockpit_Airbus_APCP_FP682_Knob_CRHT_Status,Double,,4123736223,False
Cockpit_Airbus_APCP_FP682_Knob_IAS_Status,Double,,1765755694,False
Cockpit_Airbus_APCP_FP682_Knob_TRK_HDG_VS_FPA_Status,Double,,2815877337,False
Cockpit_Airbus_APCP_FP682_Knob_TRK_HDG_Status,Double,,4259030755,False
Cockpit_Airbus_APCP_FP682_Knob_VS_FPA_Status,Double,,2155959666,False
Cockpit_Airbus_APCP_FP682_Lcd_ALTA_Label,Double,,2164726950,False
Cockpit_Airbus_APCP_FP682_Lcd_CRHT_Label,Double,,4278370933,False
Cockpit_Airbus_APCP_FP682_Lcd_IAS_Label,Double,,801762466,False
Cockpit_Airbus_APCP_FP682_Lcd_TRK_HDG_Label,Double,,331515807,False
Cockpit_Airbus_APCP_FP682_Lcd_VS_FPA_Label,Double,,4111119850,False
Cockpit_Airbus_ECP_E_ENGINE_1_Status,Double,,2360665264,False
Cockpit_Airbus_ECP_E_ENGINE_2_Status,Double,,37479251,False
Cockpit_Airbus_ECP_E_FADEC_EMER_ENG1_Status,Double,,3358932340,False
Cockpit_Airbus_ECP_E_FADEC_EMER_ENG2_Status,Double,,1186609815,False
Cockpit_Airbus_ECP_E_TRAINING_Indicator,Double,,3833271606,False
Cockpit_Airbus_ECP_E_TRAINING_Status,Double,,1446509600,False
Cockpit_Airbus_ECP_E_VENT_ENG1_Status,Double,,3930061059,False
Cockpit_Airbus_ECP_E_VENT_ENG2_Status,Double,,1689321184,False
Cockpit_Airbus_ECP_LOCKER_ENGINE_1_Status,Double,,3545165353,False
Cockpit_Airbus_ECP_LOCKER_ENGINE_2_Status,Double,,1572989386,False
Cockpit_Airbus_ECP_LOCKER_FADEC_1_Status,Double,,1611509843,False
Cockpit_Airbus_ECP_LOCKER_FADEC_2_Status,Double,,4001544112,False
Cockpit_Airbus_ELT_CP_ARMED_Status,Double,,881737454,False
Cockpit_Airbus_ELT_CP_Lcd_Label,Double,,71410148,False
Cockpit_Airbus_H145_BUTTONS_Button_1_MKR_HI_Indicator,Double,,1919242341,False
Cockpit_Airbus_H145_BUTTONS_Button_1_MKR_HI_Status,Double,,820083166,False
Cockpit_Airbus_H145_BUTTONS_Button_2_DME1_HOLD_Indicator,Double,,726694735,False
Cockpit_Airbus_H145_BUTTONS_Button_2_DME1_HOLD_Status,Double,,1701975910,False
Cockpit_Airbus_H145_BUTTONS_Button_3_DME2_HOLD_Indicator,Double,,2638367779,False
Cockpit_Airbus_H145_BUTTONS_Button_3_DME2_HOLD_Status,Double,,938134857,False
Cockpit_Airbus_H145_BUTTONS_Button_5_FMS1_OFF_Indicator,Double,,2649102896,False
Cockpit_Airbus_H145_BUTTONS_Button_5_FMS1_OFF_Status,Double,,3894704600,False
Cockpit_Airbus_H145_BUTTONS_Button_6_FMS2_OFF_Indicator,Double,,590495107,False
Cockpit_Airbus_H145_BUTTONS_Button_6_FMS2_OFF_Status,Double,,3424710828,False
Cockpit_Airbus_MCP_E_EVENT_MARKER_Status,Double,,4037026477,False
Cockpit_Airbus_MCP_E_HDG1_DG_CMD_Status,Double,,1513345066,False
Cockpit_Airbus_MCP_E_HDG1_SOURCE_Status,Double,,3152047880,False
Cockpit_Airbus_MCP_E_HDG2_DG_CMD_Status,Double,,1263450707,False
Cockpit_Airbus_MCP_E_HDG2_SOURCE_Status,Double,,2862417265,False
Cockpit_Airbus_MCP_E_MFD_COPILOT_Status,Double,,3665531479,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_BRTButton_Status,Double,,2850519926,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_BSK_1_Status,Double,,1023306059,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_BSK_2_Status,Double,,2993778344,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_BSK_3_Status,Double,,2128309814,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_BSK_4_Status,Double,,1948149551,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_BSK_5_Status,Double,,3098830769,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_BSK_6_Status,Double,,909860946,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_CTRSButton_Status,Double,,2701109780,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_KnobHigh_Status,Double,,4165840869,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_KnobLow_Status,Double,,1224076121,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKLeft_1_Status,Double,,2733335377,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKLeft_2_Status,Double,,744776882,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKLeft_3_Status,Double,,3771622444,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKLeft_4_Status,Double,,3926617397,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKLeft_5_Status,Double,,648113579,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKLeft_6_Status,Double,,2821614152,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKRight_1_Status,Double,,2262104163,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKRight_2_Status,Double,,140246912,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKRight_3_Status,Double,,3304193822,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKRight_4_Status,Double,,3459577351,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKRight_5_Status,Double,,43972249,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LSKRight_6_Status,Double,,2349986170,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_LUMButton_Status,Double,,3665838571,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_MSK_1_Status,Double,,1315632698,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_MSK_2_Status,Double,,3236295129,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_MSK_3_Status,Double,,206565703,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_MSK_4_Status,Double,,109770846,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_MSK_5_Status,Double,,3391158464,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_MSK_6_Status,Double,,1152384803,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_1_PowerButton_Status,Double,,1854583013,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_BRTButton_Status,Double,,1130472980,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_BSK_1_Status,Double,,1084181648,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_BSK_2_Status,Double,,3457174387,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_BSK_3_Status,Double,,45763565,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_BSK_4_Status,Double,,142557940,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_BSK_5_Status,Double,,3302310506,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_BSK_6_Status,Double,,1247430025,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_CTRSButton_Status,Double,,61418685,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_KnobHigh_Status,Double,,2883056737,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_KnobLow_Status,Double,,1631412139,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKLeft_1_Status,Double,,1215151667,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKLeft_2_Status,Double,,3336747472,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKLeft_3_Status,Double,,172538190,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKLeft_4_Status,Double,,9285719,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKLeft_5_Status,Double,,3425153225,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKLeft_6_Status,Double,,1118353194,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKRight_1_Status,Double,,629309130,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKRight_2_Status,Double,,2869786921,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKRight_3_Status,Double,,1739028919,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKRight_4_Status,Double,,1835167918,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKRight_5_Status,Double,,2714267696,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LSKRight_6_Status,Double,,793212883,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_LUMButton_Status,Double,,805739657,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_MSK_1_Status,Double,,839635937,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_MSK_2_Status,Double,,3162821634,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_MSK_3_Status,Double,,1882117276,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_MSK_4_Status,Double,,2062278021,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_MSK_5_Status,Double,,3057769755,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_MSK_6_Status,Double,,953080568,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_2_PowerButton_Status,Double,,3240361263,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_BRTButton_Status,Double,,1293752977,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_BSK_1_Status,Double,,3093104422,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_BSK_2_Status,Double,,919732421,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_BSK_3_Status,Double,,4202168411,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_BSK_4_Status,Double,,4038920514,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_BSK_5_Status,Double,,1008142812,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_BSK_6_Status,Double,,2996309567,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_CTRSButton_Status,Double,,2658477998,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_KnobHigh_Status,Double,,216220521,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_KnobLow_Status,Double,,850146895,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKLeft_1_Status,Double,,1175519926,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKLeft_2_Status,Double,,3365799253,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKLeft_3_Status,Double,,70518219,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKLeft_4_Status,Double,,250678482,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKLeft_5_Status,Double,,3260746828,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKLeft_6_Status,Double,,1288965039,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKRight_1_Status,Double,,3093198297,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKRight_2_Status,Double,,919695930,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKRight_3_Status,Double,,4202394276,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKRight_4_Status,Double,,4039015357,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKRight_5_Status,Double,,1007975203,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LSKRight_6_Status,Double,,2996534464,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_LUMButton_Status,Double,,1048190988,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_MSK_1_Status,Double,,3402209367,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_MSK_2_Status,Double,,1145479092,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_MSK_3_Status,Double,,2297208618,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_MSK_4_Status,Double,,2183763507,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_MSK_5_Status,Double,,1317246637,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_MSK_6_Status,Double,,3222049102,False
Cockpit_Airbus_MFD_BEZEL_CIGALHE_4_PowerButton_Status,Double,,1157652730,False
Cockpit_Airbus_OVHDCP_COCKPIT_DOME_LIGHT_Status,Double,,169361166,False
Cockpit_Airbus_OVHDCP_Knob_153_INSTR_Value,Double,,1980962701,False
Cockpit_Airbus_OVHDCP_Knob_182_BLD_HTG_Value,Double,,3879451759,False
Cockpit_Airbus_OVHDCP_Switch_150_CARGO_PAX_Status,Double,,2352798839,False
Cockpit_Airbus_OVHDCP_Switch_151_EM_EX_Status,Double,,3704492860,False
Cockpit_Airbus_OVHDCP_Switch_154_INSTR_NVG_Status,Double,,1971783892,False
Cockpit_Airbus_OVHDCP_Switch_155_ACAS_Status,Double,,1639731659,False
Cockpit_Airbus_OVHDCP_Switch_156_TAWS_Status,Double,,3640180298,False
Cockpit_Airbus_OVHDCP_Switch_157_HISL_Status,Double,,1243743164,False
Cockpit_Airbus_OVHDCP_Switch_160_STROBE_Status,Double,,1179509672,False
Cockpit_Airbus_OVHDCP_Switch_161_POS_Status,Double,,2994609676,False
Cockpit_Airbus_OVHDCP_Switch_162_ACOL_Status,Double,,234326621,False
Cockpit_Airbus_OVHDCP_Switch_163_COPILOT_Status,Double,,1648471543,False
Cockpit_Airbus_OVHDCP_Switch_164_PILOT_Status,Double,,1667914620,False
Cockpit_Airbus_OVHDCP_Switch_169_PRIME_PUMP_1_Status,Double,,1917574988,False
Cockpit_Airbus_OVHDCP_Switch_170_PRIME_PUMP_2_Status,Double,,1371813511,False
Cockpit_Airbus_OVHDCP_Switch_171_XFER_PUMP_A_Status,Double,,640788409,False
Cockpit_Airbus_OVHDCP_Switch_172_XFER_PUMP_F_Status,Double,,2203968362,False
Cockpit_Airbus_OVHDCP_Switch_175_EMER_FLOATS_Status,Double,,2848366335,False
Cockpit_Airbus_OVHDCP_Switch_176_FUZZ_BURN_Status,Double,,571175111,False
Cockpit_Airbus_OVHDCP_Switch_177_LAVCS_Status,Double,,3378253659,False
Cockpit_Airbus_OVHDCP_Switch_178_WIPER_Status,Double,,3928955465,False
Cockpit_Airbus_OVHDCP_Switch_179_AIR_COND_Status,Double,,3531796736,False
Cockpit_Airbus_OVHDCP_Switch_181_PAX_VENT_Status,Double,,2185948970,False
Cockpit_Airbus_OVHDCP_Switch_184_BAT_MSTR_GCU_Status,Double,,2859701888,False
Cockpit_Airbus_OVHDCP_Switch_185_HYD_TEST_Status,Double,,68991665,False
Cockpit_Airbus_OVHDCP_Switch_186_FIRE1_TEST_Status,Double,,3507612506,False
Cockpit_Airbus_OVHDCP_Switch_187_FIRE2_TEST_Status,Double,,3141076940,False
Cockpit_Airbus_OVHDCP_Switch_188_LAMP_TEST_Status,Double,,3772379850,False
Cockpit_Airbus_OVHDCP_Switch_189_DC_RECEPT_Status,Double,,1811009391,False
Cockpit_Airbus_OVHDCP_Switch_191_INV_Status,Double,,288258876,False
Cockpit_Airbus_OVHDCP_Switch_192_STBY_BAT_Status,Double,,3936597254,False
Cockpit_Airbus_OVHDCP_Switch_193_AVIO_MSTR1_Status,Double,,4027808551,False
Cockpit_Airbus_OVHDCP_Switch_194_AVIO_MSTR2_Status,Double,,883095439,False
Cockpit_Airbus_OVHLCP_Button_1_Status,Double,,604090812,False
Cockpit_Airbus_OVHLCP_Button_10_Status,Double,,3213223055,False
Cockpit_Airbus_OVHLCP_Button_11_Status,Double,,1932518417,False
Cockpit_Airbus_OVHLCP_Button_12_Status,Double,,4255179762,False
